 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	166762730.9	183461848.33	163907762.33	135585696.67	58009777.88	113620114.03	159946446.37	99833257.29	184171755.93	112977431.24	102607775.15	7925896.51	133099166.7	33307550.2
B	254791958.13	236470870.15	249333929.17	212600252.53	234621924.66	252787568.31	218698156.84	129738640.33	188141011.65	104921655.66	106158151.73	10355997.39	74597261.82	12856198.53
C	209327298.29	226412504.25	248174868.67	194299224.14	274145210.88	233281581.35	178057882.35	39268364.54	81712103.32	87537361.46	88189864.16	100782124.49	137339121.49	24580051.52
D	193007447.35	140263727.7	187293363.69	145833276.34	118642464.81	61350391.36	128098454.49	24556263.03	52013398.32	64718149.81	77534264.48	85991585.28	66309981.15	36204208.43
E	217741562.51	245786076.33	257852447.48	172422612.94	139177231.78	78038727.56	118033032.04	26611551.68	103940970.99	97363527.25	95038089.86	88097761.43	112218643.68	81465771.54
F	215378383.25	209478705.7	219388009.1	178410139.24	172158649.86	38660346.42	83464976.13	37724237.87	86652468.01	87887215.71	108802427.36	50126573.79	95761796.13	93599084.76
G	256194732.56	150246375.98	221663417.62	184093350.79	144880767.63	55263841.66	146268859.14	63422294.94	101546294.44	109177158.04	89547530.97	21114706.9	100274301.99	24861467.56
H	220224326.59	191103220.82	157075337.25	189918919.46	129000206.48	121526713.99	131217371.45	78052973.76	147244574.2	105971157.6	110164282.87	31433937.91	96797400.06	27607802.8
I	268969285.6	146029497.34	193689291.47	143749341.42	74057342.59	122514441.73	215929409.26	188036027.36	237913433.93	133986313.82	125234067.74	53270008.31	111966988.97	28650966.2
J	198525976.22	138141207.32	152274184.94	126534996.77	67623581.57	85612802.58	135107084.41	105073504.59	150600615.5	113922218.47	110473611.08	95152034.77	103242042.95	25542586.75
K	184245793.2	148183259.28	143990970.4	164818171.33	180717488.44	206392851.48	103466617.77	112775674.78	126287058.47	145536971.81	134753671.03	107042035.04	121019788.45	33086557.18
L	175071224.16	181637522.35	158247852.92	112686550.74	86484228.05	173157039.7	256981961.23	224814374.67	125978449.96	121381348.98	136717268.6	112605418.12	9923402.62	44526552.31
M	361172497.22	315169400.89	327799325.7	224540004.35	418707867.31	300203252.15	212142641.89	138282287.4	110144330.14	224363179.43	201816362.8	115621996.78	53077971.97	68050198.38
N	188360685.58	158690575.41	127032216.26	100398081.31	129451656.74	257431725.12	161758133.8	202188158.12	123918532.32	149214434.44	177041679.19	51375303.25	10963252.88	68931506.16
O	163965677.13	140460096.67	157011566.17	105180051.47	118113327.52	145761882.95	132872405.58	127444824.07	153403661.51	149545188.57	154403703.47	46054246.25	30206278.96	76257800.54
P	188084091.75	161624383.57	133640881.19	132205110.05	136649275.43	147374106.18	158539641.81	153074510.51	110468461.61	135058096.09	161729317.42	42674292.72	6150597.95	38507333.58
Q	164291321.57	144308847.46	104701751.6	143163764.57	145342675.77	193693860.17	157853127.79	178726278.73	132366348.52	121354165.23	129241999.32	25129633.61	8601632.74	26920073.07
R	148458791.09	127709163.9	133626516.85	227510838.88	162096750.94	194992595.38	153257298.61	193513287.6	136468660.3	118435786.15	154532812.88	17840996.99	126065148.57	28685825.65
S	115435958.05	96965881.06	107858475.87	134184588.82	90134341.4	93441327.68	107899707.9	82923525.27	93307849.28	153652900.91	121531992.43	22470639.35	42273336.51	30920966.39
T	135219247.19	103689160.87	126703477.61	158355656.07	67058271.75	83390679.9	102630759.3	80913526.02	108055783.09	112196923.28	122540022.15	79336647.32	97255786.45	69376075.69
U	135869886.84	136550290.46	99935112.33	98097584.19	52342830.27	67279595.3	61637290.84	81324966.66	166392304.42	119528071.28	122669308.17	83606004.84	100996216.25	104166709.49
V	179586825.21	166670785.33	116578384.4	121049609.14	86769168.82	99823385.0	82282805.96	75039558.55	121825243.96	120662618.35	115631703.21	96079173.23	113819225.11	58586054.44
W	219530872.8	191433395.5	119649249.91	146001318.11	66473649.92	52376142.08	48819822.65	70803483.23	113795539.57	149759811.41	117095081.91	126491338.21	115226906.96	29543762.03
X	157159580.01	142655957.26	109446595.07	161879955.61	90113984.37	36116081.49	90867703.41	112613488.05	92105114.98	148501043.03	130786356.74	92993025.54	107523284.48	13729892.34
