citation_num,web,mcp_m,mcp_u
1,PM,PM,PM
2,PM,IM,PM
3,NF,PM,PM
4,NF,PM,WP
5,PM,PM,PM
6,WP,PM,PM
7,IA,IM,PM
8,NF,PM,PM
9,NF,IM,PM
10,NF,WP,WP
11,IM,PM,PM
12,IM,PM,PM
13,PM,WP,NF
14,PM,PM,PM
15,NF,IM,NF
16,WP,PM,PM
17,IM,PM,NF
18,NF,PM,PM
19,PM,IM,PM
20,WP,PM,PM
21,WP,WP,PM
22,CM,NF,PM
23,NF,WP,WP
24,PM,IM,PM
25,PM,PM,PM
26,NF,PM,PM
27,NF,PM,PM
28,NF,PM,PM
29,NF,PM,WP
30,NF,PM,PM
31,IA,IM,WP
32,IA,PM,PM
33,IM,PM,PM
34,IM,PM,PM
35,IM,PM,PM
36,NF,WP,WP
37,IM,IM,PM
38,PM,IM,WP
39,NF,IM,PM
40,NF,IM,PM
41,NF,IM,PM
42,IM,IM,PM
43,WP,IM,PM
44,NF,IM,PM
45,WP,WP,WP
46,NF,IM,PM
47,NF,IM,PM
48,NF,WP,WP
49,PM,IM,PM
50,NF,IM,PM
51,PM,IM,PM
52,IM,IM,PM
53,PM,IM,PM
54,NF,IM,PM
55,NF,IM,PM
56,NF,IM,WP
57,IA,IM,PM
58,NF,IM,PM
59,PM,IM,PM
60,NF,IM,PM
61,PM,IM,PM
62,NF,IM,WP
63,NF,IM,PM
64,IA,IM,PM
65,PM,IM,PM
66,CM,IM,PM
67,IM,IM,PM
68,PM,IM,PM
69,NF,WP,PM
70,NF,WP,WP
71,PM,PM,PM
72,PM,PM,PM
73,NF,PM,PM
74,NF,WP,PM
75,PM,PM,PM
76,NF,WP,WP
77,NF,WP,PM
78,PM,IM,PM
79,NF,PM,PM
80,NF,NF,WP
81,PM,WP,WP
82,PM,PM,PM
83,CM,WP,WP
84,IM,PM,PM
85,IM,PM,PM
86,IM,PM,PM
87,WP,WP,PM
88,NF,WP,PM
89,NF,WP,WP
90,IM,PM,PM
91,IM,PM,PM
92,NF,WP,PM
93,NF,IM,WP
94,PM,PM,PM
95,IM,PM,PM
96,PM,IM,PM
97,NF,IM,PM
98,NF,IM,PM
99,NF,IM,PM
100,PM,IM,PM
101,PM,IM,PM
102,NF,WP,PM
103,NF,WP,PM
104,IM,IM,PM
