# Section 1
Year, moth, day, hour, minute, second,        a,     b,         c
1961,    1,   1,    0,      0,      0, 1.422818, 37300, 0.0012960
1961,    8,   1,    0,      0,      0, 1.372818, 37300, 0.0012960
1962,    1,   1,    0,      0,      0, 1.845858, 37665, 0.0011232
1963,   11,   1,    0,      0,      0, 1.945858, 37665, 0.0011232
1964,    1,   1,    0,      0,      0, 3.240130, 38761, 0.0012960
1964,    4,   1,    0,      0,      0, 3.340130, 38761, 0.0012960
1964,    9,   1,    0,      0,      0, 3.440130, 38761, 0.0012960
1965,    1,   1,    0,      0,      0, 3.540130, 38761, 0.0012960
1965,    3,   1,    0,      0,      0, 3.640130, 38761, 0.0012960
1965,    7,   1,    0,      0,      0, 3.740130, 38761, 0.0012960
1965,    9,   1,    0,      0,      0, 3.840130, 38761, 0.0012960
1966,    1,   1,    0,      0,      0, 4.313170, 39126, 0.0025920
1968,    2,   1,    0,      0,      0, 4.213170, 39126, 0.0025920

# Section 2
Year, moth, day, hour, minute, second, delta, TAI - UTC
1971,   12,  31,   23,     59,     59,     1,        10
1972,    6,  30,   23,     59,     59,     1,        11
1972,   12,  31,   23,     59,     59,     1,        12
1973,   12,  31,   23,     59,     59,     1,        13
1974,   12,  31,   23,     59,     59,     1,        14
1975,   12,  31,   23,     59,     59,     1,        15
1976,   12,  31,   23,     59,     59,     1,        16
1977,   12,  31,   23,     59,     59,     1,        17
1978,   12,  31,   23,     59,     59,     1,        18
1979,   12,  31,   23,     59,     59,     1,        19
1981,    6,  30,   23,     59,     59,     1,        20
1982,    6,  30,   23,     59,     59,     1,        21
1983,    6,  30,   23,     59,     59,     1,        22
1985,    6,  30,   23,     59,     59,     1,        23
1987,   12,  31,   23,     59,     59,     1,        24
1989,   12,  31,   23,     59,     59,     1,        25
1990,   12,  31,   23,     59,     59,     1,        26
1992,    6,  30,   23,     59,     59,     1,        27
1993,    6,  30,   23,     59,     59,     1,        28
1994,    6,  30,   23,     59,     59,     1,        29
1995,   12,  31,   23,     59,     59,     1,        30
1997,    6,  30,   23,     59,     59,     1,        31
1998,   12,  31,   23,     59,     59,     1,        32
2005,   12,  31,   23,     59,     59,     1,        33
2008,   12,  31,   23,     59,     59,     1,        34
2012,    6,  30,   23,     59,     59,     1,        35
2015,    6,  30,   23,     59,     59,     1,        36
2016,   12,  31,   23,     59,     59,     1,        37
