query,assignedType,distance,reference,species
test1,unassigned,,AY355239.1_A58,u
test2,A20,0.08843537414965986,AY355201.1_A20,A
test5,A21,0.07482993197278912,AY355202.1_A21,A
test6,A75,0.07482993197278912,AY355256.1_A75,A
test7,A12,0.09523809523809523,AY355193.1_A12,A
test8,A94,0.07482993197278912,AY355275.1_A94,A
test9,A10,0.06802721088435375,AY355191.1_A10,A
test10,A40,0.09523809523809523,AY355221.1_A40,A
test11,unassigned,,AY355235.1_A54,u
test12,A75,0.06802721088435375,AY355256.1_A75,A
test13,A46,0.06802721088435375,AY355227.1_A46,A
test14,unassigned,,AY355209.1_A28,u
test16,A19,0.06802721088435375,AY355200.1_A19,A
test18,A46,0.06802721088435375,AY355227.1_A46,A
test19,A61,0.10204081632653061,AY355242.1_A61,A
test20,A28,0.08843537414965986,AY355209.1_A28,A
test21,A28,0.08843537414965986,AY355209.1_A28,A
test24,A105,0.027210884353741496,JN614995.1_A105,A
test25,A11,0.07482993197278912,AY355192.1_A11,A
test26,unassigned,,AY355263.1_A82,u
test28,A94,0.09523809523809523,AY355275.1_A94,A
test31,unassigned,,AY355263.1_A82,u
test32,A58,0.08843537414965986,AY355239.1_A58,A
test33,A28,0.08843537414965986,AY355209.1_A28,A
test34,A103,0.027210884353741496,JF965515.1_A103,A
test36,A38,0.05442176870748299,AY355219.1_A38,A
test39,A46,0.06802721088435375,AY355227.1_A46,A
test42,A59,0.10204081632653061,AY355240.1_A59,A
test43,A58,0.08843537414965986,AY355239.1_A58,A
test46,A19,0.08163265306122448,AY355200.1_A19,A
test53,A55,0.08163265306122448,AY355236.1_A55,A
test54,A28,0.09523809523809523,AY355209.1_A28,A
test56,A103,0.027210884353741496,JF965515.1_A103,A
test57,A103,0.027210884353741496,JF965515.1_A103,A
test58,unassigned,,AY355203.1_A22,u
test59,A103,0.027210884353741496,JF965515.1_A103,A
test61,A55,0.07482993197278912,AY355236.1_A55,A
test65,A28,0.08163265306122448,AY355209.1_A28,A
test67,unassigned,,AY355263.1_A82,u
test68,A28,0.08843537414965986,AY355209.1_A28,A
test71,A38,0.06802721088435375,AY355219.1_A38,A
test73,A103,0.027210884353741496,JF965515.1_A103,A
test76,A105,0.02040816326530612,JN614995.1_A105,A
test77,A11,0.07482993197278912,AY355192.1_A11,A
test79,A11,0.08843537414965986,AY355192.1_A11,A
test82,A47,0.10204081632653061,AY273201.1_A47,A
test83,A28,0.08843537414965986,AY355209.1_A28,A
test84,A11,0.08163265306122448,AY355192.1_A11,A
test85,A101,0.08163265306122448,GQ415051.1_A101,A
test86,A11,0.07482993197278912,AY355192.1_A11,A
test92,unassigned,,AY273201.1_A47,u
test94,A101,0.04081632653061224,GQ415051.1_A101,A
test97,A25,0.08163265306122448,AY355206.1_A25,A
test99,A11,0.07482993197278912,AY355192.1_A11,A
test110,B102,0.02040816326530612,JX074053.1_B102,B
test112,B6,0.08163265306122448,AY355187.1_B6,B
test113,B104,0.04081632653061224,FJ445137.1_B104,B
test114,B6,0.08163265306122448,AY355187.1_B6,B
test115,B104,0.06802721088435375,FJ445137.1_B104,B
test116,B48,0.08163265306122448,AY355229.1_B48,B
test119,B3,0.061224489795918366,AY355184.1_B3,B
test122,B3,0.05442176870748299,AY355184.1_B3,B
test128,B42,0.10204081632653061,AY355223.1_B42,B
test130,B103,0.013605442176870748,JN798572.1_B103,B
test132,B37,0.06802721088435375,AY355218.1_B37,B
test133,B103,0.013605442176870748,JN798572.1_B103,B
test135,B93,0.08163265306122448,AY355274.1_B93,B
test137,A101,0.034013605442176874,GQ415051.1_A101,A
test138,B103,0.006802721088435374,JN798572.1_B103,B
test140,B103,0.013605442176870748,JN798572.1_B103,B
test141,B35,0.07482993197278912,AY355216.1_B35,B
test142,B103,0.027210884353741496,JN798572.1_B103,B
test143,B6,0.08163265306122448,AY355187.1_B6,B
test144,B83,0.06802721088435375,AY355264.1_B83,B
test145,B92,0.047619047619047616,AY355273.1_B92,B
test146,B92,0.07482993197278912,AY355273.1_B92,B
test147,B103,0.013605442176870748,JN798572.1_B103,B
test152,B37,0.06802721088435375,AY355218.1_B37,B
