	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	10073208.39	11012073.73	10060299.66	11117549.41	9888321.03	7701854.39	9010871.38	10189933.88	9432988.29	9075855.84	11869949.4	23960460.02	17478945.94	11737292.52	12296475.52	14417923.76	9237429.75	9709278.78	7935846.52	8752254.37	7571654.07	7571654.07	8013791.09
-4	11199106.76	11419016.91	11166481.44	10710895.41	10158704.1	8685544.5	8557361.07	8144900.01	8829139.23	8873061.01	10849575.59	20342769.75	15060018.26	10097879.57	13781612.67	14912628.93	10599858.14	9379141.78	8606013.08	8082126.79	10169323.26	10169323.26	7071656.48
-3	5390241.73	5476411.62	4768376.48	5685001.06	6070949.89	4980944.76	4313451.13	3513623.24	4557116.49	4221321.06	6381320.2	13953008.59	6649058.47	5031547.06	6131444.6	7490868.56	5934003.0	6775488.03	4098602.2	3586186.01	3345358.75	3345358.75	7072001.62
-2	10447775.42	9781470.33	8991036.06	10939424.66	10270172.02	10376503.63	8252450.28	8183182.48	7888105.4	7989963.75	10388295.68	13644021.73	12557067.92	9771214.38	12769157.07	12609982.52	8115056.61	12091569.32	7047303.49	6613321.19	6372871.9	6372871.9	8513043.94
-1	10751275.94	12652820.77	9217069.47	10399488.97	9967623.52	8888347.32	7804098.03	7254029.65	7532302.89	7644881.94	8182502.49	9489254.29	13326889.11	10248639.86	12295135.47	14722720.37	8558026.0	9697421.96	7818090.12	6476579.96	6778813.07	6778813.07	15544210.8
1	11727348.57	12882529.36	9114531.12	9573935.74	10077138.01	9541743.05	7532338.06	8130641.98	7805224.08	8478119.58	9287921.56	11350206.14	14198343.86	11256808.74	14262758.84	16862526.21	10162454.66	11530824.68	8206099.83	7693305.79	7963463.65	7963463.65	8048179.87
2	8543758.53	7438520.98	8749844.34	9291062.88	9489221.93	9477406.84	9862018.13	8580265.45	8623572.14	9329588.24	12079925.87	12818485.5	13765548.71	10754836.46	15014661.24	16428964.79	9269789.28	9259502.64	6670184.58	6740071.89	5165943.09	5165943.09	6599105.75
3	10385831.11	10220064.91	10112396.73	10524005.52	11041952.17	9936260.54	8373435.18	8705692.93	8873164.3	10662871.01	12969891.98	16807128.41	16451298.31	11836621.21	14994842.46	14893327.56	9260970.4	10118811.06	6421804.91	7066928.7	5561552.75	5561552.75	7374563.74
4	6985042.02	7941073.79	8677578.12	8337671.1	9005587.32	8270092.68	7283856.65	7244720.98	8049732.99	7813794.39	9847984.82	12737502.78	13185905.38	8818207.16	10976960.69	9990114.05	5936668.67	6396461.84	4919730.11	4366040.25	4780699.77	4780699.77	4898387.13
5	9940308.78	11068646.25	9177048.08	8898506.13	9339869.63	9526667.62	8427406.45	8354396.3	9219181.49	9341621.92	13153535.39	16667812.4	24858054.23	11853379.06	16339310.15	15993411.3	9485528.11	9361985.44	6263234.04	5946340.98	4570898.16	4570898.16	5787725.32
