	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	150475337.67	187726185.38	139751151.98	134611586.86	123790562.98	108423816.87	113321437.71	162896734.45	139596653.69	128294304.42	164560079.17	184649837.39	178872013.92	132929033.01	141256671.91	147177083.77	140843504.48	153409046.42	131240808.85	119952635.46	118440848.02	118440848.02	118216090.1
-4	127930978.25	166230636.95	139064135.06	130326331.17	99241774.39	92198603.12	94076948.83	122413858.59	116031334.57	103281093.46	131654441.21	247794126.02	127509767.78	108824273.71	108635635.7	101633666.44	134809675.89	111525970.91	125034664.1	167923818.25	105655732.94	105655732.94	127675982.4
-3	124092667.14	116362536.91	88810950.36	107441276.8	110638437.15	104011706.54	96508426.04	125447603.93	100796831.22	102540435.33	153247411.64	321895364.78	144519900.22	116024984.05	67389400.29	79719046.02	92499863.89	120226158.6	114604522.62	130977745.43	99142305.88	99142305.88	117048959.95
-2	142257035.82	142842201.82	129723170.82	100885279.19	140369633.71	103336283.43	91289759.45	96778754.96	89350763.85	76341404.37	71163478.62	218061050.49	72344682.87	96870846.47	90458926.07	96456834.97	126926856.82	120011318.79	111560905.01	139131464.27	91132257.01	91132257.01	112483584.74
-1	36225066.27	19696049.73	50834850.69	43569696.32	45050998.37	90268297.3	95887238.2	200119476.03	162983485.08	74096148.32	89827717.07	151854696.87	60846520.63	55635368.83	20385834.0	20823806.7	35439828.04	209316890.14	182524897.64	120571812.66	141864594.1	141864594.1	155839276.64
1	14543322.68	105030585.65	181493863.26	93524773.62	93108111.6	83709794.33	152090920.1	110729475.47	67823045.84	105319898.69	54537596.76	109252789.4	103898852.65	53089701.09	19573927.23	25788845.63	121834561.39	36416659.01	98402791.16	241393295.3	124189778.54	124189778.54	138861679.63
2	73567864.56	42619556.92	84302303.13	94293628.73	88204629.1	98474008.02	128854915.77	123562067.31	96923152.94	90908973.36	137327220.18	215876762.95	176134999.19	90565347.24	57361929.61	76433278.06	94911242.05	100676406.51	98814577.96	131986028.99	181127173.68	181127173.68	391552616.04
3	121504953.6	62640995.04	80577149.83	100099161.21	66353529.59	76664987.36	163855382.2	187401540.6	133646194.12	124064056.98	126088961.82	202544233.55	143391557.74	150712703.72	28585812.32	45026615.76	76883132.49	62814275.0	42533404.5	39749677.23	30785666.79	30785666.79	60507444.16
4	162424474.88	132931155.93	89981297.27	97586504.46	84414780.32	91278237.2	85874405.61	84483417.61	86637168.23	103789074.32	109724083.65	92394159.46	143248579.63	125722871.41	77811235.04	90174575.51	106840911.91	90311247.12	111421893.38	122321258.78	87070668.05	87070668.05	94326925.07
5	125521438.72	117210576.68	72580978.5	64596760.14	103486033.51	99921643.59	47561897.63	50079163.43	52819467.34	79844343.24	56547313.87	117646664.3	62314464.12	96081481.51	88243973.86	113681968.15	92442503.5	94881861.31	98489049.31	98978213.99	65750938.1	65750938.1	84232507.97
