	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	36781905.41	35598236.64	32019923.71	28266031.28	27091442.31	24400558.34	26302629.35	26091765.87	29219579.64	28312076.52	31110396.11	48106767.99	31370308.88	28945804.09	28225467.91	27743869.24	30635343.68	30371753.99	47098932.55	42429343.52	41143635.48	41143635.48	41418482.4
-4	37677096.86	33183661.73	30593286.92	28891142.97	23119118.05	20841074.76	23361577.32	22640491.8	25777338.65	22310865.21	28344576.59	44276873.54	27675006.46	20649521.26	17684084.87	21166729.21	30699386.77	25675802.32	46702425.65	53832033.33	40416462.97	40416462.97	43318460.69
-3	25215139.45	23687668.88	20469179.24	26562513.04	24589190.27	20562097.25	16883003.06	16687902.56	17491081.43	18966705.53	20893529.94	69802203.84	21791019.63	21166492.77	12203594.16	14560649.63	25096790.05	32739305.67	62536047.02	72800645.06	41119605.31	41119605.31	44455233.19
-2	34062399.25	32701584.01	24769138.39	27174929.84	29341877.93	18397449.87	18838036.61	17031617.55	17015015.08	15859360.79	11484320.58	26075706.58	14401446.27	18290794.31	12249073.89	14532783.43	28510576.57	31793054.78	42141170.16	46277674.2	45722692.35	45722692.35	32569751.47
-1	16109557.31	6281117.14	8357838.75	12321735.28	5920274.14	17874614.54	39644088.54	45450828.47	23709475.52	10832524.66	11893391.36	19628259.29	6679822.28	5631099.9	2976949.85	3046751.77	7004614.23	4433052.34	11653305.8	14494950.34	56116807.0	56116807.0	18046787.96
1	5293552.86	63486927.22	30499244.95	18328740.61	18417569.16	16281534.63	17007056.43	15660590.43	11553318.98	18041788.59	11942054.81	17679777.71	24768778.07	9647888.16	4197926.99	5649637.78	16476164.42	9173371.93	16819259.92	32515060.85	29823203.86	29823203.86	62773467.36
2	12865301.97	12760553.48	18786386.76	25207987.4	23115732.03	24333304.55	22388747.64	18517561.63	17875720.25	18432811.92	18962479.91	21312716.5	18852945.29	9018742.19	10682198.27	13846594.21	16663436.09	14115872.24	13348979.23	30812253.66	37723833.83	37723833.83	34268580.64
3	9998129.64	16489754.7	9540354.96	20319662.4	11002050.73	16116920.91	24530801.63	30147751.47	24361103.09	15670024.65	58689324.26	51003864.61	28789738.24	12816747.37	6955319.81	12760182.6	9438645.62	7975814.94	9560467.72	10537960.58	10986141.61	10986141.61	15592595.54
4	15487974.98	16926367.77	14045025.56	16891350.48	16013947.2	14110176.23	14457823.63	12050302.66	14951762.87	17092458.77	20155755.04	18169095.84	22679052.5	14760156.9	18382048.69	18708571.73	18720561.49	13279253.07	16741529.76	16452894.16	12675015.77	12675015.77	20236210.6
5	37492919.57	26274179.22	22954996.8	24093582.21	26222147.71	25316540.11	18349921.83	18238538.82	23394784.81	21808620.88	29581416.95	38183417.83	28846108.01	25555300.26	26358069.87	30990695.1	20584570.25	26276236.83	25078514.63	24157292.76	17440270.78	17440270.78	28329076.79
