	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	8043204.76	9480775.67	8035055.0	7736725.89	6908125.99	6842605.61	7447553.67	8578812.29	8657664.51	8091580.62	9225162.63	11519065.79	9545311.21	7580934.66	7219088.26	7606248.04	8156370.39	8779103.14	10200226.77	8488899.65	10429034.67	10429034.67	11610345.76
-4	7514534.98	8805841.26	7288996.25	10066490.87	5699620.2	5520733.36	5606041.0	6981399.55	7337464.9	6892721.7	7653131.19	17893603.35	7835797.22	5895615.46	5148888.23	6089617.0	7356255.61	5609824.13	8758539.66	9833774.91	8511207.56	8511207.56	10794070.7
-3	7160119.06	5615011.42	5240213.97	7276475.13	6115259.71	5986368.97	5885521.99	6060227.61	5783485.25	5362472.99	8744806.6	17500942.13	8910417.0	7034695.8	3329565.51	4025811.02	5131675.12	7062480.65	10190195.84	11675557.5	5523924.06	5523924.06	9463892.25
-2	7760785.93	7626846.8	6942097.64	7544263.6	8734572.18	6270490.36	5254902.51	5731720.28	5140804.77	4098829.15	3870455.07	13825746.94	3826121.36	5117944.44	4120988.44	5216524.97	6313179.37	8120175.81	7809861.76	10877157.52	5994367.64	5994367.64	7190974.52
-1	1293372.13	996873.42	1974805.03	3292623.76	1844076.58	4690548.82	4907794.09	9663766.1	9233849.86	3696336.45	4752999.12	9377182.34	2790232.1	4214750.51	858676.0	1105482.15	1770101.62	9223089.14	17524629.41	10173532.14	17767109.76	17767109.76	23926177.2
1	737522.81	2544574.16	6461717.65	5754386.3	3005579.8	3857789.37	8919441.63	9063676.4	4392177.89	7957304.36	3570715.05	6006818.51	4820912.26	8139885.15	811042.02	887363.26	4192737.6	1584303.26	4179529.83	13501834.99	10297176.15	10297176.15	19370117.82
2	2889590.57	1596903.61	3359666.16	5689018.3	3699688.13	4371307.72	5627529.02	5774772.29	5053473.01	5291760.61	7226269.14	12398045.07	11959617.64	4361286.86	1817064.62	2574189.46	3869802.75	5723648.02	9798905.13	11390583.52	15272050.57	15272050.57	37658794.16
3	6343617.42	2415297.12	2817248.63	6244321.09	2027401.66	2954578.34	9843804.27	15557122.43	8747416.93	7776578.1	6635057.91	7584440.93	6642437.18	3448655.44	868941.2	1247373.52	2987426.88	1878523.03	1801487.41	1614726.81	2160756.88	2160756.88	5127493.63
4	8689515.82	6615353.01	4499927.56	6321968.37	5831852.65	5078168.09	4348897.9	4454453.63	3794693.71	5667199.63	6484602.37	6032317.49	11579460.04	7393053.22	3247897.51	3963904.51	4837414.66	4112378.02	5233446.89	7342403.0	6256869.96	6256869.96	8276006.65
5	19315195.66	13269617.39	11470763.37	12712681.95	11806910.3	14119475.58	9562966.34	8997308.86	10144544.73	10062634.31	12773962.44	16339795.28	13983287.19	11474082.35	7121634.91	7083927.25	8939015.2	9245755.7	14597303.85	14122496.86	9848480.33	9848480.33	15197806.51
