	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	78647667.27	77194225.84	67382427.5	55114787.47	62139342.07	56747228.86	51757092.42	52838450.65	56276331.49	58100503.85	55078773.94	110447374.6	44665451.23	68402535.35	85401056.23	78194987.27	64535749.56	64312740.4	52584821.44	45879920.52	45940709.67	45940709.67	50541648.68
-4	82354174.04	75768489.33	61372799.27	54829683.83	49380921.97	43805351.18	47363060.64	46200858.96	55111979.71	53863863.09	50724412.36	121821274.98	48350185.15	57676171.67	73755035.33	82117213.71	58222195.82	53583617.54	44656470.43	45756457.14	33946007.91	33946007.91	45286248.74
-3	71886041.64	67984521.17	51963980.64	51758620.22	62247659.87	56989691.11	37893800.72	30858683.34	42344974.6	45347664.45	51297994.19	110999330.8	51130537.45	59111754.38	77333916.79	86179665.98	53055228.21	59272084.21	34603445.96	32702583.83	29109256.44	29109256.44	39611186.39
-2	72717358.5	74276613.67	54198409.81	53150914.67	65650734.1	54273208.93	40015315.25	33568824.19	36281610.78	36451017.63	40780110.44	96129569.97	40060769.86	61142006.97	75510051.93	96328539.7	57473845.89	65448027.4	28313029.64	30815646.51	26318546.98	26318546.98	31807270.7
-1	55877387.73	43825641.61	40823034.11	38500782.43	36964757.5	42467329.2	34755439.13	38364749.48	39148685.38	43988162.39	47838885.34	107659747.71	34306938.72	77764091.44	75668780.19	121480559.98	51931381.49	42612669.77	13080290.06	13146287.94	13823791.39	13823791.39	25550916.67
1	26611705.07	41984428.59	76473208.08	51745670.48	45783257.37	50233088.53	57892113.5	51570819.68	49007545.51	51269201.61	53076966.65	92035862.73	78136219.1	55003594.86	58736627.76	70805776.8	52912685.15	29433724.98	12225752.25	18865780.61	16833662.77	16833662.77	35446382.98
2	36498111.82	22800218.46	35487673.97	49692744.2	34057160.56	46392205.96	60568859.92	61936128.85	53163236.8	58692485.7	55273810.79	83992274.77	65533491.71	38272089.76	47176333.3	55180478.53	35714387.2	37941259.19	14216998.88	20403061.67	16453592.26	16453592.26	17876821.49
3	44422710.46	37320792.87	33827461.26	44455537.38	30108591.66	30292920.85	53966335.76	57766079.03	55168650.58	52631914.53	84901617.3	78886501.71	122387706.99	56408377.65	33155797.14	44905875.11	26085490.62	28533921.97	15267346.19	12209150.51	9595031.3	9595031.3	14851454.44
4	57090714.94	48034632.12	44899449.24	51674854.73	44830685.14	44338711.62	42105117.74	36314532.29	44417559.37	55013207.19	62472137.04	54071949.26	62646799.79	54544160.33	62363618.77	63731335.49	54799720.39	47729155.45	35558204.76	35123851.54	18265681.6	18265681.6	22606570.0
5	96334333.89	69434878.05	61380630.39	62759481.32	61685392.35	63382678.41	55159159.92	53865762.67	62643923.01	70691289.15	68799122.35	72045007.15	68946566.92	59463640.85	77405530.86	73568801.52	54266559.9	61413044.98	37341323.75	35087252.3	26960568.48	26960568.48	30504622.62
