	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	378213820.94	340857456.4	335146317.61	265973793.74	286879892.97	255007959.97	305573977.43	326984818.47	331488246.79	323562080.73	329880539.11	469575180.67	294477952.78	284386883.77	279385731.69	271396598.84	313377558.36	315638421.18	308969408.66	286470321.37	279920882.81	279920882.81	357126034.79
-4	322423940.19	378699727.71	297322465.06	260328894.2	214598511.72	199081625.29	232396748.52	267560232.98	291694096.38	277066274.36	304010537.06	470941130.32	291078808.43	258279170.17	239246137.84	246267929.05	309348576.35	236000255.89	287727027.56	349486648.78	278878245.9	278878245.9	389937824.38
-3	356659578.62	288311704.58	250675909.61	231065396.78	249885469.03	239239306.33	252213650.24	233731403.97	252574283.05	220967837.39	258375775.55	455191577.32	258486405.61	220902741.65	202152581.71	185472858.37	201982262.74	248050958.33	246334556.16	246704164.59	231452233.31	231452233.31	331300926.92
-2	282966755.65	284371885.85	244744007.1	253414266.08	262421976.35	244258762.83	244998477.15	260096028.74	261480234.02	198073152.58	239551508.39	417789303.56	250562663.86	266888656.88	248908034.18	245434487.27	237904240.18	244651617.26	226862094.68	244293651.47	185535044.67	185535044.67	245082842.44
-1	241179226.74	208334368.64	235654283.15	240541951.63	205685198.27	206216926.98	238669326.33	261845235.85	231444906.8	181347440.42	230679839.74	593369629.98	189526982.11	219417233.56	137359738.05	128453590.89	155400146.37	158902689.86	275855650.23	246613957.84	229544237.5	229544237.5	331294783.99
1	115825205.65	98334172.67	219597771.89	192611473.99	166613322.83	222306296.64	360691340.84	404337735.84	317058527.23	276282449.26	334752480.81	467674090.69	241377369.2	289997768.41	91627773.72	127640608.58	184337049.29	92194872.47	51508267.89	92053900.48	67907890.4	67907890.4	166730209.44
2	231560100.3	175847892.57	211551952.74	215012408.08	229365665.65	240550908.17	245702010.95	215047457.65	241802189.42	224445540.2	241684182.75	422367458.87	295706228.12	175633181.9	274754841.27	268522515.79	218119965.78	219885326.73	144115945.71	174663284.7	120207774.33	120207774.33	207422756.58
3	293062458.41	186787569.29	210722198.13	281228292.85	211618621.42	278008099.67	319862670.22	460157134.95	338008220.06	295676624.37	335800853.53	374965493.4	290769921.15	264564831.08	123334671.96	162570590.97	158073397.05	161354784.04	97485891.79	78195416.85	48579518.35	48579518.35	99958005.08
4	260999872.71	282782341.95	243073760.22	278764598.4	241894449.38	227432508.45	229061360.45	217847490.03	223181440.14	289048647.11	279121231.34	221815103.68	260975142.45	261620935.17	276851289.93	272159089.52	279364483.59	211675096.92	214814327.96	233809884.28	132589542.6	132589542.6	201000832.59
5	589001368.34	449928582.67	401127692.21	398033151.43	395715445.82	381387634.57	318606642.02	331582623.94	333571912.62	340444067.24	365175680.6	414441210.46	328758939.07	374016015.52	346116519.29	334895288.86	311761286.9	313238806.14	285074826.18	274923386.58	195428885.53	195428885.53	231445382.02
